run_count,date_time,hidden_size,replay_buffer_size,batch_size,learning_rate,gamma,tau,sigma,theta,mean_time_in_range,mean_coefficient_of_variance,mean_reward,mean_episode_length
17,2022-12-09 22:57:34.326389,32,10000,256,0.001,0.9,0.001,3,0.01,0.727119781250056,0.34196564647918887,252.40120311507744,81.7
18,2022-12-10 00:26:30.567582,32,10000,256,0.001,0.9,0.001,3,0.1,0.7081317315986863,0.3501101972643105,-16.137780216586037,72.0
19,2022-12-10 01:39:17.474764,32,10000,256,0.001,0.9,0.01,3,0.01,0.7254862139466972,0.36449679395032986,349.32119374067844,123.8
20,2022-12-10 03:02:10.371197,32,10000,256,0.001,0.9,0.01,3,0.1,0.6906796370502841,0.35509514024547734,246.6747420229251,101.3
21,2022-12-10 04:24:33.605112,32,10000,256,0.001,0.99,0.001,3,0.01,0.7292837441735112,0.36313545144844117,1178.8951899215128,204.4
22,2022-12-10 06:09:10.768438,32,10000,256,0.001,0.99,0.001,3,0.1,0.7326980835085245,0.3454306275064518,1651.502361803555,280.5
29,2022-12-10 08:08:14.568577,32,10000,512,0.001,0.99,0.001,3,0.01,0.7562021197298654,0.3259529243233934,1492.6738582151681,203.7
23,2022-12-10 08:22:54.818153,32,10000,256,0.001,0.99,0.01,3,0.01,0.6725578819794087,0.3819883156262789,1167.1277830430076,323.6
30,2022-12-10 08:33:29.617367,32,10000,512,0.001,0.99,0.001,3,0.1,0.7204629957821356,0.3393139755903304,653.0421516312019,123.4
31,2022-12-10 09:05:59.265180,32,10000,512,0.001,0.99,0.01,3,0.01,0.6356594361006611,0.34655886185739637,646.0242520527178,169.9
32,2022-12-10 09:35:20.087447,32,10000,512,0.001,0.99,0.01,3,0.1,0.6875579022119467,0.3628954270448167,386.97682172377847,142.0
24,2022-12-10 10:30:00.122631,32,10000,256,0.001,0.99,0.01,3,0.1,0.7191290980870871,0.353782867366136,835.7798167051062,173.6
1001,2022-12-10 15:01:38.167743,32,10000,256,0.0001,0.99,0.0001,3,0.01,0.6622640985052137,0.3765382614433294,53.52790333122607,62.4
1002,2022-12-10 15:27:26.233098,32,10000,256,0.0001,0.99,0.0001,3,0.1,0.6816994305068987,0.36178365664661677,-12.885194656648,60.5
1003,2022-12-10 16:00:34.318373,32,10000,256,0.0001,0.99,0.001,3,0.01,0.6123602666409333,0.38087091506641624,216.66281516829963,212.6
1004,2022-12-10 16:33:35.287141,32,10000,256,0.0001,0.99,0.001,3,0.1,0.729293116556686,0.3582384397861124,1062.5504741019217,219.3
1005,2022-12-10 16:56:42.941160,32,10000,256,0.0001,0.999,0.0001,3,0.01,0.7487876735581215,0.34854021640673427,368.002777425237,94.1
1006,2022-12-10 17:22:42.642520,32,10000,256,0.0001,0.999,0.0001,3,0.1,0.772948717948718,0.33496303390445054,116.39432385878672,38.2
2001,2022-12-10 18:00:29.632327,32,10000,256,0.0001,0.999999,1e-07,3,1e-06,0.5407925852441495,0.331707540621635,1305.515996962871,220.0
2002,2022-12-10 18:00:45.347904,32,10000,256,0.0001,0.999999,1e-07,3,1e-06,0.582471446919426,0.2711934957692884,441.67756811305117,124.5
1007,2022-12-10 18:01:14.387305,32,10000,256,0.0001,0.999,0.001,3,0.01,0.6290039945486751,0.38910899440484736,238.62623663025298,176.4
2001,2022-12-10 18:02:27.458315,32,10000,256,0.0001,0.999999,1e-07,3,1e-06,0.759620370374188,0.3171813952516384,502.27820955251036,109.6
2002,2022-12-10 18:02:38.661513,32,10000,256,0.0001,0.999999,1e-07,3,1e-06,0.5788998977636661,0.26679456004868995,534.656733574963,114.2
2003,2022-12-10 18:02:50.913888,32,10000,256,0.0001,0.999999,1e-07,3,1e-06,0.7308563881871996,0.34124941338610226,-152.04326661901897,57.7
2004,2022-12-10 18:03:05.842065,32,10000,256,0.0001,0.999999,1e-07,3,1e-06,0.584094103275682,0.2867041190737596,537.4535700749141,123.4
2005,2022-12-10 18:03:20.466393,32,10000,256,0.0001,0.999999,1e-07,3,1e-06,0.5903193724976552,0.2699114161711017,375.7661087432952,115.6
2006,2022-12-10 18:03:28.057405,32,10000,256,0.0001,0.999999,1e-07,3,1e-06,0.6930998973408882,0.36742161815776353,10.47207632536929,58.9
2007,2022-12-10 18:03:42.950180,32,10000,256,0.0001,0.999999,1e-07,3,1e-06,0.6885078046927655,0.3352525533198484,408.75542584589556,108.0
