initialization_type,date_time,mean_time_in_range,mean_coefficient_of_variance,mean_reward,mean_episode_length
nn.init.kaiming_uniform_,2022-12-10 18:09:33.513781,0.7692307692307693,0.331789357975741,77.7875052571419,38.0
nn.init.kaiming_uniform_ with fan_out,2022-12-10 18:09:43.875893,0.534931331086875,0.26732790113840965,358.00190173777656,118.8
nn.init.kaiming_uniform_,2022-12-10 18:10:50.215368,0.7271884771732333,0.35637294538727526,61.29836237443499,48.4
nn.init.kaiming_uniform_ with fan_out,2022-12-10 18:10:58.525075,0.6869971304591266,0.35969671714528145,-31.574116684787136,63.7
kaiming_uniform,2022-12-10 18:12:01.817802,0.6099471930364513,0.28945936238507197,944.0502111128435,207.9
kaiming_uniform_with_fan_out,2022-12-10 18:12:19.931939,0.4900505957818604,0.28410666904922544,509.3572585542506,129.1
kaiming_uniform_div_100,2022-12-10 18:12:28.647067,0.7835095137420718,0.32236605982417454,237.89007644547655,42.4
kaiming_normal,2022-12-10 18:12:42.277469,0.528938896797654,0.2676041191854305,447.9435437105529,124.9
xavier_uniform,2022-12-10 18:12:49.683538,0.7454883371095347,0.3453649585508328,151.45999235847586,45.0
xavier_uniform_with_gain_relu,2022-12-10 18:13:04.491966,0.6882616505630472,0.2895106636466867,589.7907063398546,101.9
xavier_uniform_with_gain_0.01,2022-12-10 18:13:14.726024,0.7085023738657663,0.34238852198012265,447.70475009277345,106.1
zeros,2022-12-10 18:13:23.471035,0.7112634780929742,0.3356376273557878,303.9774550323227,92.6
